"dataset","type","train_AIC","train_BIC","test_auc","train_auc","p_0","p_1","myorder"
"ionosphere","SFFS",172.717387156133,223.654352526805,0.808785529715762,0.951048951048951,7,6,3
"ionosphere","SFFS",145.690514958585,211.180899006593,0.80275624461671,0.965256965256965,11,6,3
"ionosphere","SFFS",169.362608678694,213.022864710699,0.846683893195521,0.94960594960595,6,5,3
"ionosphere","SFFS",158.322250363496,212.897570403502,0.820844099913867,0.956765456765457,8,6,3
"ionosphere","SFFS",164.079409601841,204.101310964512,0.85099052540913,0.942057942057942,7,3,3
"ionosphere","SFFS",124.849231049373,201.254679105382,0.794142980189492,0.983849483849484,12,8,3
"Sonar","SFFS",125.295122210296,197.008979895881,0.645238095238095,0.961972238288028,13,9,3
"Sonar","SFFS",109.337864539511,181.051722225096,0.564285714285714,0.976431463273569,15,7,3
"Sonar","SFFS",121.296412868455,174.302307679539,0.707142857142857,0.959803354540197,9,7,3
"Sonar","SFFS",115.886381776143,168.892276587228,0.638095238095238,0.963996529786003,10,6,3
"Sonar","SFFS",118.417547368782,180.777423617117,0.635714285714286,0.962116830537883,10,9,3
"Sonar","SFFS",120.087771331122,179.329653767041,0.564285714285714,0.964141122035859,13,5,3
