"data","trainAIC","trainBIC","trainAUC","testAUC"
"Sonar",122.000000007294,312.197622564716,1,0.605952380952381
"Ionosphere",101.007451018271,224.711509775618,0.997391497391497,0.829457364341085
"BreastCancer",102.949757186918,145.994245211138,0.99617710331996,0.99774943735934
